site,sigma_threshold,site_identifier,pct_zeroed,top1_accuracy,top5_accuracy,baseline_top1,baseline_top5,seed,is_random,granularity,ablation_mode,cls_entropy,patch_entropy,baseline_cls_entropy,baseline_patch_entropy
pre_gelu,4.0,blocks.1/pre_gelu,0.15342288455256567,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.10/pre_gelu,0.017604490510522104,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.11/pre_gelu,0.25308115018979477,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.2/pre_gelu,0.06805892175961467,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.3/pre_gelu,0.053948092990723985,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.4/pre_gelu,0.060480540519153886,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.5/pre_gelu,0.061137950696322656,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.6/pre_gelu,0.05539167931650544,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.7/pre_gelu,0.06285020878361038,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.8/pre_gelu,0.06895737589725182,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,4.0,blocks.9/pre_gelu,0.03450234723024313,85.03,97.522,85.026,97.516,45,True,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.0/pre_gelu,0.20922871435756613,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.1/pre_gelu,0.03766011308787553,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.10/pre_gelu,0.0042876033544219,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.11/pre_gelu,0.02036357702374163,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.2/pre_gelu,0.0019504197525120129,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.3/pre_gelu,0.004992021750809108,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.4/pre_gelu,0.007416090520192295,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.5/pre_gelu,0.004246039389096864,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
pre_gelu,6.0,blocks.6/pre_gelu,0.002966500259764657,84.112,97.288,85.026,97.516,45,False,per_channel,outlier,[],[],[],[]
