block,site,mean,std,kurtosis,frac_3.0_sigma,frac_4.0_sigma,frac_6.0_sigma
patch_embed,residual_stream,-0.0054685501344502,0.466185325161058,45.96436327341207,0.020362433904399322,0.010515483555414552,0.004973406435067682
blocks.0,residual_stream,-0.030989837682247168,0.4885197327928432,24.471417739365858,0.019693192814086293,0.009393085739213198,0.0022644379230118443
blocks.0,post_layernorm_1,0.0038310975387692444,0.5143650378059877,69.53482128956223,0.017192266814720813,0.010949169839255498,0.005581530906302877
blocks.0,pre_softmax,-1.2198642936706539,3.413690339011372,9.660062308660667,0.008278700172640367,0.002987005591486511,0.0010426797478248172
blocks.0,post_softmax,0.005076142496615653,0.04007530096002637,340.54449366354856,0.005227015855428723,0.00482548592680392,0.004219810482104666
blocks.0,post_layernorm_2,-0.0036542954675853256,0.8784412039204944,47.7057121240406,0.023600270331006767,0.010307158814509306,0.0024391722186971236
blocks.0,pre_gelu,-1.902411758804321,1.40461847041717,-0.06269575627319623,0.003284880961823181,0.0004437936230964467,2.0614722134094756e-05
blocks.1,residual_stream,-0.050700698071718224,0.29770211872017777,58.99877901915424,0.016796180335236888,0.008140423408417936,0.002013012240905245
blocks.1,post_layernorm_1,-0.00023390504836861512,0.5972975595151121,58.437703239649636,0.013766042724196277,0.010200925999365482,0.00611058785427242
blocks.1,pre_softmax,-0.08142438494116072,4.254513648396582,3.898450439514015,0.015592648182981611,0.004981230728267498,0.00045821609248713785
blocks.1,post_softmax,0.005076142490655179,0.03031226676484872,548.5658000764464,0.005608023697252356,0.004375792771436179,0.003184421568880071
blocks.1,post_layernorm_2,0.0048074766419827965,0.943778936367412,93.23838752184686,0.011793446621192893,0.005716363948815567,0.002452645145939086
blocks.1,pre_gelu,-1.7385734239578257,1.434834181744611,0.5033806446517439,0.004460139891338833,0.0007747222332381557,2.5511084232233503e-05
blocks.2,residual_stream,-0.06374172992706299,0.2808384682403692,55.678633898676885,0.015526365535109983,0.007245974116962775,0.0015712966634940778
blocks.2,post_layernorm_1,-0.0038670149769634006,0.6993666888860665,21.00408645227147,0.01468378410532995,0.009024056815778341,0.004444017687182741
blocks.2,pre_softmax,-1.3136110227584845,3.68371060381551,3.053540282698477,0.01680433168423132,0.003908142226459499,8.008043666847038e-05
blocks.2,post_softmax,0.005076142484694719,0.03143691184315434,547.0787607518505,0.006064866826423424,0.004499780334458502,0.002865216831147414
blocks.2,post_layernorm_2,-0.0006047322322527178,0.8894816278329061,28.128568467505062,0.010053155403976312,0.0033884259993654823,0.0006060470865059222
blocks.2,pre_gelu,-1.470351715660095,1.1192075567869653,-0.15425718152885048,0.0023395478069479694,0.00014019174333756345,8.486014170896784e-06
blocks.3,residual_stream,-0.0761409257054329,0.3130864509836875,84.3758230200027,0.013581290318316412,0.005215319638324873,0.0009014336135786803
blocks.3,post_layernorm_1,-0.004595628637075419,0.8957183254065827,25.483240705732246,0.012641942946277495,0.00840267092322335,0.004303232735829103
blocks.3,pre_softmax,-0.9024844821929926,2.62197028562074,1.9515778103679065,0.010583546127616446,0.002583792204557362,0.00011200537675968632
blocks.3,post_softmax,0.00507614248469472,0.0304026078344919,584.5680833467846,0.006523258780179855,0.004502878413082876,0.0026411191132641055
blocks.3,post_layernorm_2,0.000713976717562764,0.9637557562858973,33.01887932593499,0.009512545605964467,0.003707843564932318,0.0008423593485617597
blocks.3,pre_gelu,-1.483050907707214,1.0873277491686741,0.037751252183851225,0.0026173327450824875,0.0004056164736675127,2.3391067840524536e-05
blocks.4,residual_stream,-0.08915675423145297,0.3591568243873718,781.8887864018553,0.010833426528130288,0.004200922033629441,0.0006763503331218274
blocks.4,post_layernorm_1,-4.7046440583653745e-05,0.9679578350312011,20.63642735378626,0.013087328812394248,0.007180895727580372,0.0028729629335871405
blocks.4,pre_softmax,-0.8166437960624696,2.4032433785284177,0.5595230457632803,0.0058853234215431125,0.00030424321677961297,4.036864301235968e-08
blocks.4,post_softmax,0.005076142487674955,0.025567977633372343,457.47768028257934,0.007502831817361952,0.005582244883059771,0.0036320325182303075
blocks.4,post_layernorm_2,0.012682136143743994,1.0570930223405897,47.22319605400735,0.010007147578257191,0.004554957831006768,0.001771056736463621
blocks.4,pre_gelu,-1.3548710294723507,1.0145095920589207,0.2986202736697936,0.0034120376612732655,0.000411623241857022,4.402809723984772e-05
blocks.5,residual_stream,-0.10229868688583371,0.4810351004220009,2994.0264434631267,0.007104721208756345,0.0023686224354906938,0.0003440963409475465
blocks.5,post_layernorm_1,0.0009481693844456454,1.0101536755022897,25.853963509748734,0.012101934618231811,0.005785224328468697,0.002473268295262267
blocks.5,pre_softmax,-0.9802464767456054,2.1482187846924328,0.30932364330718,0.004253792290448092,0.0002090915337507623,2.8678914684738074e-06
blocks.5,post_softmax,0.0050761424846947146,0.018807369979394552,496.7790437553793,0.011199107595317238,0.007524649136368712,0.0040201677875406905
blocks.5,post_layernorm_2,0.0037933792904019372,1.1159187266877748,60.843151163081,0.009505786008883249,0.00392979193104907,0.0011615303775380711
blocks.5,pre_gelu,-1.449957244682312,1.0793151897823163,0.3969950911679696,0.004172957150222081,0.0005732573894881557,4.345306551395939e-05
blocks.6,residual_stream,-0.11486693882942198,0.6320217172608129,4708.258922390916,0.0040471393824027075,0.0012338422694585449,0.00031717031514382404
blocks.6,post_layernorm_1,-0.00012839960916026028,1.0546805141015168,25.544356780957376,0.01165559763642132,0.005660080901015228,0.0024532281091370557
blocks.6,pre_softmax,-0.7573011661529541,1.9904814601139893,0.6639910400128306,0.0064551598855935475,0.0005045356747146281,2.6196672593127026e-07
blocks.6,post_softmax,0.005076142496615651,0.016646253593765627,597.87197015476,0.011817121887534678,0.007786613929758561,0.004102724239222861
blocks.6,post_layernorm_2,0.006195608790218829,1.213775781080101,36.38753190460185,0.009876735009517766,0.004121512796108291,0.0006074555837563451
blocks.6,pre_gelu,-1.54553094921112,1.1305782160906335,0.261537147996584,0.003815910532994924,0.0003701791521256345,2.4090028817681895e-05
blocks.7,residual_stream,-0.13342788712978376,0.7494670151331085,3072.853214871,0.003685475491751269,0.0013000951776649746,0.00040684750423011844
blocks.7,post_layernorm_1,0.0015075102084476384,1.103774904184888,21.560685036330927,0.010748430890439932,0.005135502590947546,0.0018742220547800338
blocks.7,pre_softmax,-1.0357914560317998,2.310006409000176,0.4094688813657177,0.005047105697132109,0.0003283463028335352,2.8880757899799874e-07
blocks.7,post_softmax,0.005076142493635416,0.018574623769662246,536.2172538087098,0.0124723629398679,0.00830212128629957,0.004314940262997414
blocks.7,post_layernorm_2,-0.0031718888152390723,1.4227305671654185,7.642293564134855,0.010641244315778342,0.0046765565513959394,0.0012256774799069374
blocks.7,pre_gelu,-1.7761697656631465,1.2351735646121436,0.6257050125462849,0.005186560946753384,0.0009077695378595601,3.586314244923858e-05
blocks.8,residual_stream,-0.1546963053941726,0.9262162690827317,1806.5576692817808,0.0034933177347715736,0.0012741063874788495,0.0004346301290186125
blocks.8,post_layernorm_1,0.009972085402905945,1.1627743496891352,12.79273231309453,0.010412573366116751,0.004071919945008461,0.0010025823551184432
blocks.8,pre_softmax,-1.8763723987579348,2.283165512194518,0.07759673862244698,0.0030205304611473282,0.00010215263641595163,5.454061343159233e-08
blocks.8,post_softmax,0.005076142493635416,0.02113244801031052,185.6307867517011,0.013519766248378813,0.009794167375265188,0.005775049172442818
blocks.8,post_layernorm_2,0.09131212265491484,3.4751885772384625,12.760175498754922,0.010884359798011844,0.00586709760998308,0.002130893083756345
blocks.8,pre_gelu,-4.9557959136962895,2.6465944278895175,0.6885342007301616,0.005259836016814721,0.0007342165357973774,0.00011413586611675127
blocks.9,residual_stream,-0.17230110993385317,1.1549354513727914,950.5576025661823,0.004076293490905245,0.0014403698709813874,0.000509129785321489
blocks.9,post_layernorm_1,0.01665124853849411,1.3190564239097746,9.89114217792057,0.009357417909263959,0.0030831304198392557,0.000489915133248731
blocks.9,pre_softmax,-2.3850273635864276,2.429944361387251,0.2528689647993789,0.0037712755632284605,0.00017624369776769993,5.589339242615544e-07
blocks.9,post_softmax,0.005076142490655179,0.023693272716439184,191.8220760088597,0.01216952833105723,0.009338092109218652,0.005975660070258617
blocks.9,post_layernorm_2,0.27071824388504034,7.320813807890372,5.086370087257009,0.010490895991962774,0.004812096155879865,0.0010703680203045685
blocks.9,pre_gelu,-12.571442868041993,5.500119805344508,0.25660264755889095,0.004161345970812183,0.0006353277680837563,1.5291217216582066e-05
blocks.10,residual_stream,-0.15377439806461335,1.8677570906215526,125.99617204941356,0.007469761923646362,0.0028733958597715738,0.0011453019247038916
blocks.10,post_layernorm_1,0.034886144191026695,1.533220298835734,11.201800016580973,0.008213034052453468,0.00293339744606599,0.0006880604906937394
blocks.10,pre_softmax,-3.0176158481597897,2.7729158899911863,0.5414125497621085,0.005888815953344156,0.00038399104159688043,2.4822420916110525e-07
blocks.10,post_softmax,0.005076142493635416,0.024839773854354635,193.899254005745,0.012010552964518539,0.009184173129944085,0.0058776791465897085
blocks.10,post_layernorm_2,0.2869122832775115,13.440452012073422,2.447884114432428,0.00784825970283418,0.0022549261051184434,0.00023260826459390864
blocks.10,pre_gelu,-28.325851077270514,11.197211191761673,0.5959372266065968,0.003920481043781726,0.001086006735141709,9.280632006133672e-05
blocks.11,residual_stream,-0.12037757396697998,2.414125249874848,252.88370295483182,0.003975551237309645,0.002698325798434856,0.0015566168305837563
blocks.11,post_layernorm_1,0.022556056720018394,1.5008851654396398,3.7268611873696615,0.006459417301184434,0.002030709337986464,0.0007276292829949239
blocks.11,pre_softmax,-2.4238795387268066,2.607953741193504,-0.030114358542835618,0.0021831198948697467,4.2114157368995165e-05,1.6533965489104762e-08
blocks.11,post_softmax,0.005076142493635416,0.019803384974074047,132.6224758548857,0.016548482310804195,0.011786802674637326,0.006396212862995697
blocks.11,post_layernorm_2,-0.021145288521051412,1.527673332321609,4.52233110925915,0.006659305599619289,0.002004031831641286,0.0004575276279610829
blocks.11,pre_gelu,-1.6886167123794558,1.6178025331907582,0.6268574943962322,0.00541411719410956,0.0009618316082381557,4.8108509147631134e-05
