layer_name,quantized_accuracy,accuracy_drop
blocks.0.attn.qkv,83.3740234375,0.0732421875
blocks.0.attn.proj,83.3984375,0.048828125
blocks.0.mlp.fc1,83.3740234375,0.0732421875
blocks.0.mlp.fc2,83.3251953125,0.1220703125
blocks.1.attn.qkv,83.447265625,0.0
blocks.1.attn.proj,83.447265625,0.0
blocks.1.mlp.fc1,83.49609375,-0.048828125
blocks.1.mlp.fc2,83.447265625,0.0
blocks.2.attn.qkv,83.4228515625,0.0244140625
blocks.2.attn.proj,83.4716796875,-0.0244140625
blocks.2.mlp.fc1,83.4228515625,0.0244140625
blocks.2.mlp.fc2,83.4716796875,-0.0244140625
blocks.3.attn.qkv,83.4228515625,0.0244140625
blocks.3.attn.proj,83.447265625,0.0
blocks.3.mlp.fc1,83.447265625,0.0
blocks.3.mlp.fc2,83.447265625,0.0
blocks.4.attn.qkv,83.4228515625,0.0244140625
blocks.4.attn.proj,83.4228515625,0.0244140625
blocks.4.mlp.fc1,83.447265625,0.0
blocks.4.mlp.fc2,83.5205078125,-0.0732421875
blocks.5.attn.qkv,83.447265625,0.0
blocks.5.attn.proj,83.447265625,0.0
blocks.5.mlp.fc1,83.4716796875,-0.0244140625
blocks.5.mlp.fc2,83.3740234375,0.0732421875
blocks.6.attn.qkv,83.4228515625,0.0244140625
blocks.6.attn.proj,83.447265625,0.0
blocks.6.mlp.fc1,83.3984375,0.048828125
blocks.6.mlp.fc2,83.4228515625,0.0244140625
blocks.7.attn.qkv,83.447265625,0.0
blocks.7.attn.proj,83.4228515625,0.0244140625
blocks.7.mlp.fc1,83.4716796875,-0.0244140625
blocks.7.mlp.fc2,83.4228515625,0.0244140625
blocks.8.attn.qkv,83.4716796875,-0.0244140625
blocks.8.attn.proj,83.4716796875,-0.0244140625
blocks.8.mlp.fc1,83.49609375,-0.048828125
blocks.8.mlp.fc2,83.4716796875,-0.0244140625
blocks.9.attn.qkv,83.3984375,0.048828125
blocks.9.attn.proj,83.447265625,0.0
blocks.9.mlp.fc1,83.4228515625,0.0244140625
blocks.9.mlp.fc2,83.447265625,0.0
blocks.10.attn.qkv,83.3984375,0.048828125
blocks.10.attn.proj,83.4228515625,0.0244140625
blocks.10.mlp.fc1,83.447265625,0.0
blocks.10.mlp.fc2,83.4228515625,0.0244140625
blocks.11.attn.qkv,83.4228515625,0.0244140625
blocks.11.attn.proj,83.4716796875,-0.0244140625
blocks.11.mlp.fc1,83.447265625,0.0
blocks.11.mlp.fc2,83.447265625,0.0
head,83.447265625,0.0
